,time,ten9_comp,Total Stress,S3 Magnitude,Temperature
0,-1.0,xx,-9.7374664e+07,-9.737465e+07,345.497
1,-1.0,xy,3.2561354e-12,-9.737465e+07,345.497
2,-1.0,xz,0.027291197,-9.737465e+07,345.497
3,-1.0,yx,3.2561354e-12,-9.737465e+07,345.497
4,-1.0,yy,-9.737465e+07,-9.737465e+07,345.497
5,-1.0,yz,-0.09794264,-9.737465e+07,345.497
6,-1.0,zx,0.027291197,-9.737465e+07,345.497
7,-1.0,zy,-0.09794264,-9.737465e+07,345.497
8,-1.0,zz,-9.742636e+07,-9.737465e+07,345.497
9,10.0,xx,-9.7374664e+07,-9.737465e+07,345.497
10,10.0,xy,3.2561354e-12,-9.737465e+07,345.497
11,10.0,xz,0.027291203,-9.737465e+07,345.497
12,10.0,yx,3.2561354e-12,-9.737465e+07,345.497
13,10.0,yy,-9.737465e+07,-9.737465e+07,345.497
14,10.0,yz,-0.097942635,-9.737465e+07,345.497
15,10.0,zx,0.027291203,-9.737465e+07,345.497
16,10.0,zy,-0.097942635,-9.737465e+07,345.497
17,10.0,zz,-9.742636e+07,-9.737465e+07,345.497
18,25.0,xx,-9.7374664e+07,-9.737465e+07,345.497
19,25.0,xy,3.2561354e-12,-9.737465e+07,345.497
20,25.0,xz,0.0272912,-9.737465e+07,345.497
21,25.0,yx,3.2561354e-12,-9.737465e+07,345.497
22,25.0,yy,-9.737465e+07,-9.737465e+07,345.497
23,25.0,yz,-0.097942635,-9.737465e+07,345.497
24,25.0,zx,0.0272912,-9.737465e+07,345.497
25,25.0,zy,-0.097942635,-9.737465e+07,345.497
26,25.0,zz,-9.742636e+07,-9.737465e+07,345.497
27,47.5,xx,-9.7374664e+07,-9.737465e+07,345.497
28,47.5,xy,3.2561354e-12,-9.737465e+07,345.497
29,47.5,xz,0.027291201,-9.737465e+07,345.497
30,47.5,yx,3.2561354e-12,-9.737465e+07,345.497
31,47.5,yy,-9.737465e+07,-9.737465e+07,345.497
32,47.5,yz,-0.09794264,-9.737465e+07,345.497
33,47.5,zx,0.027291201,-9.737465e+07,345.497
34,47.5,zy,-0.09794264,-9.737465e+07,345.497
35,47.5,zz,-9.742636e+07,-9.737465e+07,345.497
36,81.25,xx,-9.731521e+07,-9.731521e+07,345.497
37,81.25,xy,1.444176e-11,-9.731521e+07,345.497
38,81.25,xz,-930.3011,-9.731521e+07,345.497
39,81.25,yx,1.444176e-11,-9.731521e+07,345.497
40,81.25,yy,-9.731526e+07,-9.731521e+07,345.497
41,81.25,yz,-34.22287,-9.731521e+07,345.497
42,81.25,zx,-930.3011,-9.731521e+07,345.497
43,81.25,zy,-34.22287,-9.731521e+07,345.497
44,81.25,zz,-9.7536424e+07,-9.731521e+07,345.497
45,131.875,xx,-9.7294616e+07,-9.7294616e+07,345.497
46,131.875,xy,1.8397008e-11,-9.7294616e+07,345.497
47,131.875,xz,-1093.576,-9.7294616e+07,345.497
48,131.875,yx,1.8397008e-11,-9.7294616e+07,345.497
49,131.875,yy,-9.729468e+07,-9.7294616e+07,345.497
50,131.875,yz,-69.61636,-9.7294616e+07,345.497
51,131.875,zx,-1093.576,-9.7294616e+07,345.497
52,131.875,zy,-69.61636,-9.7294616e+07,345.497
53,131.875,zz,-9.757605e+07,-9.7294616e+07,345.497
54,207.8125,xx,-9.7294616e+07,-9.7294616e+07,345.497
55,207.8125,xy,1.8397008e-11,-9.7294616e+07,345.497
56,207.8125,xz,-1093.576,-9.7294616e+07,345.497
57,207.8125,yx,1.8397008e-11,-9.7294616e+07,345.497
58,207.8125,yy,-9.729468e+07,-9.7294616e+07,345.497
59,207.8125,yz,-69.61636,-9.7294616e+07,345.497
60,207.8125,zx,-1093.576,-9.7294616e+07,345.497
61,207.8125,zy,-69.61636,-9.7294616e+07,345.497
62,207.8125,zz,-9.757605e+07,-9.7294616e+07,345.497
63,321.71875,xx,-9.728017e+07,-9.728016e+07,345.497
64,321.71875,xy,2.1153128e-11,-9.728016e+07,345.497
65,321.71875,xz,-1258.9951,-9.728016e+07,345.497
66,321.71875,yx,2.1153128e-11,-9.728016e+07,345.497
67,321.71875,yy,-9.728024e+07,-9.728016e+07,345.497
68,321.71875,yz,-140.18832,-9.728016e+07,345.497
69,321.71875,zx,-1258.9951,-9.728016e+07,345.497
70,321.71875,zy,-140.18832,-9.728016e+07,345.497
71,321.71875,zz,-9.760362e+07,-9.728016e+07,345.497
72,492.578125,xx,-9.725883e+07,-9.725883e+07,345.497
73,492.578125,xy,2.5181964e-11,-9.725883e+07,345.497
74,492.578125,xz,-1533.4569,-9.725883e+07,345.497
75,492.578125,yx,2.5181964e-11,-9.725883e+07,345.497
76,492.578125,yy,-9.7258936e+07,-9.725883e+07,345.497
77,492.578125,yz,-220.93779,-9.725883e+07,345.497
78,492.578125,zx,-1533.4569,-9.725883e+07,345.497
79,492.578125,zy,-220.93779,-9.725883e+07,345.497
80,492.578125,zz,-9.7644104e+07,-9.725883e+07,345.497
81,748.8671875,xx,-9.724969e+07,-9.724969e+07,345.497
82,748.8671875,xy,2.6878878e-11,-9.724969e+07,345.497
83,748.8671875,xz,-1652.9304,-9.724969e+07,345.497
84,748.8671875,yx,2.6878878e-11,-9.724969e+07,345.497
85,748.8671875,yy,-9.724983e+07,-9.724969e+07,345.497
86,748.8671875,yz,-221.58267,-9.724969e+07,345.497
87,748.8671875,zx,-1652.9304,-9.724969e+07,345.497
88,748.8671875,zy,-221.58267,-9.724969e+07,345.497
89,748.8671875,zz,-9.766129e+07,-9.724969e+07,345.497
90,1133.30078125,xx,-9.723391e+07,-9.72339e+07,345.497
91,1133.30078125,xy,2.985868e-11,-9.72339e+07,345.497
92,1133.30078125,xz,-1733.8282,-9.72339e+07,345.497
93,1133.30078125,yx,2.985868e-11,-9.72339e+07,345.497
94,1133.30078125,yy,-9.72341e+07,-9.72339e+07,345.497
95,1133.30078125,yz,-152.05714,-9.72339e+07,345.497
96,1133.30078125,zx,-1733.8282,-9.72339e+07,345.497
97,1133.30078125,zy,-152.05714,-9.72339e+07,345.497
98,1133.30078125,zz,-9.769159e+07,-9.72339e+07,345.497
99,1709.951171875,xx,-9.721921e+07,-9.72192e+07,345.497
100,1709.951171875,xy,3.2625895e-11,-9.72192e+07,345.497
101,1709.951171875,xz,-1808.2762,-9.72192e+07,345.497
102,1709.951171875,yx,3.2625895e-11,-9.72192e+07,345.497
103,1709.951171875,yy,-9.721942e+07,-9.72192e+07,345.497
104,1709.951171875,yz,-65.966095,-9.72192e+07,345.497
105,1709.951171875,zx,-1808.2762,-9.72192e+07,345.497
106,1709.951171875,zy,-65.966095,-9.72192e+07,345.497
107,1709.951171875,zz,-9.771966e+07,-9.72192e+07,345.497
108,2574.9267578125,xx,-9.720539e+07,-9.7205384e+07,345.497
109,2574.9267578125,xy,3.5259122e-11,-9.7205384e+07,345.497
110,2574.9267578125,xz,-1838.8408,-9.7205384e+07,345.497
111,2574.9267578125,yx,3.5259122e-11,-9.7205384e+07,345.497
112,2574.9267578125,yy,-9.720561e+07,-9.7205384e+07,345.497
113,2574.9267578125,yz,27.37445,-9.7205384e+07,345.497
114,2574.9267578125,zx,-1838.8408,-9.7205384e+07,345.497
115,2574.9267578125,zy,27.37445,-9.7205384e+07,345.497
116,2574.9267578125,zz,-9.774627e+07,-9.7205384e+07,345.497
117,3872.39013671875,xx,-9.719243e+07,-9.7192424e+07,345.497
118,3872.39013671875,xy,3.7794875e-11,-9.7192424e+07,345.497
119,3872.39013671875,xz,-1797.5835,-9.7192424e+07,345.497
120,3872.39013671875,yx,3.7794875e-11,-9.7192424e+07,345.497
121,3872.39013671875,yy,-9.719264e+07,-9.7192424e+07,345.497
122,3872.39013671875,yz,57.80349,-9.7192424e+07,345.497
123,3872.39013671875,zx,-1797.5835,-9.7192424e+07,345.497
124,3872.39013671875,zy,57.80349,-9.7192424e+07,345.497
125,3872.39013671875,zz,-9.777187e+07,-9.7192424e+07,345.497
126,5818.5849609375,xx,-9.718078e+07,-9.718078e+07,345.497
127,5818.5849609375,xy,4.0113666e-11,-9.718078e+07,345.497
128,5818.5849609375,xz,-1717.504,-9.718078e+07,345.497
129,5818.5849609375,yx,4.0113666e-11,-9.718078e+07,345.497
130,5818.5849609375,yy,-9.718093e+07,-9.718078e+07,345.497
131,5818.5849609375,yz,72.21059,-9.718078e+07,345.497
132,5818.5849609375,zx,-1717.504,-9.718078e+07,345.497
133,5818.5849609375,zy,72.21059,-9.718078e+07,345.497
134,5818.5849609375,zz,-9.779518e+07,-9.718078e+07,345.497
135,8737.8779296875,xx,-9.720512e+07,-9.720157e+07,345.49692
136,8737.8779296875,xy,3.6829755e-11,-9.720157e+07,345.49692
137,8737.8779296875,xz,-4139.602,-9.720157e+07,345.49692
138,8737.8779296875,yx,3.6829755e-11,-9.720157e+07,345.49692
139,8737.8779296875,yy,-9.720158e+07,-9.720157e+07,345.49692
140,8737.8779296875,yz,-2726.635,-9.720157e+07,345.49692
141,8737.8779296875,zx,-4139.602,-9.720157e+07,345.49692
142,8737.8779296875,zy,-2726.635,-9.720157e+07,345.49692
143,8737.8779296875,zz,-9.774505e+07,-9.720157e+07,345.49692
144,13116.81640625,xx,-9.7497816e+07,-9.735669e+07,345.4966
145,13116.81640625,xy,-8.6779976e-12,-9.735669e+07,345.4966
146,13116.81640625,xz,63980.82,-9.735669e+07,345.4966
147,13116.81640625,yx,-8.6779976e-12,-9.735669e+07,345.4966
148,13116.81640625,yy,-9.747722e+07,-9.735669e+07,345.4966
149,13116.81640625,yz,45499.234,-9.735669e+07,345.4966
150,13116.81640625,zx,63980.82,-9.735669e+07,345.4966
151,13116.81640625,zy,45499.234,-9.735669e+07,345.4966
152,13116.81640625,zz,-9.740287e+07,-9.735669e+07,345.4966
153,19685.224609375,xx,-9.793515e+07,-9.631397e+07,345.49493
154,19685.224609375,xy,-1.2056693e-10,-9.631397e+07,345.49493
155,19685.224609375,xz,-140254.83,-9.631397e+07,345.49493
156,19685.224609375,yx,-1.2056693e-10,-9.631397e+07,345.49493
157,19685.224609375,yy,-9.7977976e+07,-9.631397e+07,345.49493
158,19685.224609375,yz,-157477.28,-9.631397e+07,345.49493
159,19685.224609375,zx,-140254.83,-9.631397e+07,345.49493
160,19685.224609375,zy,-157477.28,-9.631397e+07,345.49493
161,19685.224609375,zz,-9.6341e+07,-9.631397e+07,345.49493
162,29537.837890625,xx,-9.877343e+07,-9.600709e+07,345.4917
163,29537.837890625,xy,-2.0570308e-10,-9.600709e+07,345.4917
164,29537.837890625,xz,-165500.94,-9.600709e+07,345.4917
165,29537.837890625,yx,-2.0570308e-10,-9.600709e+07,345.4917
166,29537.837890625,yy,-9.879333e+07,-9.600709e+07,345.4917
167,29537.837890625,yz,-216123.12,-9.600709e+07,345.4917
168,29537.837890625,zx,-165500.94,-9.600709e+07,345.4917
169,29537.837890625,zy,-216123.12,-9.600709e+07,345.4917
170,29537.837890625,zz,-9.603375e+07,-9.600709e+07,345.4917
171,44316.7578125,xx,-9.911796e+07,-9.546583e+07,345.4856
172,44316.7578125,xy,-2.692323e-10,-9.546583e+07,345.4856
173,44316.7578125,xz,-220431.66,-9.546583e+07,345.4856
174,44316.7578125,yx,-2.692323e-10,-9.546583e+07,345.4856
175,44316.7578125,yy,-9.9143336e+07,-9.546583e+07,345.4856
176,44316.7578125,yz,-266890.12,-9.546583e+07,345.4856
177,44316.7578125,zx,-220431.66,-9.546583e+07,345.4856
178,44316.7578125,zy,-266890.12,-9.546583e+07,345.4856
179,44316.7578125,zz,-9.5498504e+07,-9.546583e+07,345.4856
180,66485.1328125,xx,-9.9117976e+07,-9.546563e+07,345.4856
181,66485.1328125,xy,-2.6923658e-10,-9.546563e+07,345.4856
182,66485.1328125,xz,-220451.1,-9.546563e+07,345.4856
183,66485.1328125,yx,-2.6923658e-10,-9.546563e+07,345.4856
184,66485.1328125,yy,-9.9143336e+07,-9.546563e+07,345.4856
185,66485.1328125,yz,-266910.1,-9.546563e+07,345.4856
186,66485.1328125,zx,-220451.1,-9.546563e+07,345.4856
187,66485.1328125,zy,-266910.1,-9.546563e+07,345.4856
188,66485.1328125,zz,-9.54983e+07,-9.546563e+07,345.4856
189,99737.703125,xx,-9.9118e+07,-9.5465416e+07,345.4856
190,99737.703125,xy,-2.692413e-10,-9.5465416e+07,345.4856
191,99737.703125,xz,-220472.11,-9.5465416e+07,345.4856
192,99737.703125,yx,-2.692413e-10,-9.5465416e+07,345.4856
193,99737.703125,yy,-9.9143336e+07,-9.5465416e+07,345.4856
194,99737.703125,yz,-266931.56,-9.5465416e+07,345.4856
195,99737.703125,zx,-220472.11,-9.5465416e+07,345.4856
196,99737.703125,zy,-266931.56,-9.5465416e+07,345.4856
197,99737.703125,zz,-9.54981e+07,-9.5465416e+07,345.4856
198,149616.546875,xx,-9.92064e+07,-9.5156536e+07,345.47556
199,149616.546875,xy,-2.954804e-10,-9.5156536e+07,345.47556
200,149616.546875,xz,-261739.56,-9.5156536e+07,345.47556
201,149616.546875,yx,-2.954804e-10,-9.5156536e+07,345.47556
202,149616.546875,yy,-9.920641e+07,-9.5156536e+07,345.47556
203,149616.546875,yz,-287769.4,-9.5156536e+07,345.47556
204,149616.546875,zx,-261739.56,-9.5156536e+07,345.47556
205,149616.546875,zy,-287769.4,-9.5156536e+07,345.47556
206,149616.546875,zz,-9.51939e+07,-9.5156536e+07,345.47556
207,224434.828125,xx,-9.870846e+07,-9.516445e+07,345.3802
208,224434.828125,xy,-2.536735e-10,-9.516445e+07,345.3802
209,224434.828125,xz,-295907.25,-9.516445e+07,345.3802
210,224434.828125,yx,-2.536735e-10,-9.516445e+07,345.3802
211,224434.828125,yy,-9.869504e+07,-9.516445e+07,345.3802
212,224434.828125,yz,-285951.56,-9.516445e+07,345.3802
213,224434.828125,zx,-295907.25,-9.516445e+07,345.3802
214,224434.828125,zy,-285951.56,-9.516445e+07,345.3802
215,224434.828125,zz,-9.521231e+07,-9.516445e+07,345.3802
216,336662.25,xx,-9.891838e+07,-9.505817e+07,345.42236
217,336662.25,xy,-2.7154445e-10,-9.505817e+07,345.42236
218,336662.25,xz,-303552.0,-9.505817e+07,345.42236
219,336662.25,yx,-2.7154445e-10,-9.505817e+07,345.42236
220,336662.25,yy,-9.889203e+07,-9.505817e+07,345.42236
221,336662.25,yz,-293384.4,-9.505817e+07,345.42236
222,336662.25,zx,-303552.0,-9.505817e+07,345.42236
223,336662.25,zy,-293384.4,-9.505817e+07,345.42236
224,336662.25,zz,-9.510449e+07,-9.505817e+07,345.42236
225,505003.375,xx,-9.83441e+07,-9.529828e+07,345.2054
226,505003.375,xy,-2.205743e-10,-9.529828e+07,345.2054
227,505003.375,xz,-294858.97,-9.529828e+07,345.2054
228,505003.375,yx,-2.205743e-10,-9.529828e+07,345.2054
229,505003.375,yy,-9.836619e+07,-9.529828e+07,345.2054
230,505003.375,yz,-297799.47,-9.529828e+07,345.2054
231,505003.375,zx,-294858.97,-9.529828e+07,345.2054
232,505003.375,zy,-297799.47,-9.529828e+07,345.2054
233,505003.375,zz,-9.535573e+07,-9.529828e+07,345.2054
234,757515.0625,xx,-9.807888e+07,-9.522856e+07,345.03577
235,757515.0625,xy,-2.120722e-10,-9.522856e+07,345.03577
236,757515.0625,xz,-296172.6,-9.522856e+07,345.03577
237,757515.0625,yx,-2.120722e-10,-9.522856e+07,345.03577
238,757515.0625,yy,-9.810638e+07,-9.522856e+07,345.03577
239,757515.0625,yz,-309725.75,-9.522856e+07,345.03577
240,757515.0625,zx,-296172.6,-9.522856e+07,345.03577
241,757515.0625,zy,-309725.75,-9.522856e+07,345.03577
242,757515.0625,zz,-9.529267e+07,-9.522856e+07,345.03577
243,1136282.625,xx,-9.783598e+07,-9.520307e+07,344.78198
244,1136282.625,xy,-2.0580232e-10,-9.520307e+07,344.78198
245,1136282.625,xz,-262329.84,-9.520307e+07,344.78198
246,1136282.625,yx,-2.0580232e-10,-9.520307e+07,344.78198
247,1136282.625,yy,-9.782769e+07,-9.520307e+07,344.78198
248,1136282.625,yz,-289267.38,-9.520307e+07,344.78198
249,1136282.625,zx,-262329.84,-9.520307e+07,344.78198
250,1136282.625,zy,-289267.38,-9.520307e+07,344.78198
251,1136282.625,zz,-9.526109e+07,-9.520307e+07,344.78198
252,1469615.875,xx,-9.7712e+07,-9.56994e+07,344.42334
253,1469615.875,xy,-2.2105788e-10,-9.56994e+07,344.42334
254,1469615.875,xz,-254590.03,-9.56994e+07,344.42334
255,1469615.875,yx,-2.2105788e-10,-9.56994e+07,344.42334
256,1469615.875,yy,-9.77323e+07,-9.56994e+07,344.42334
257,1469615.875,yz,-180401.23,-9.56994e+07,344.42334
258,1469615.875,zx,-254590.03,-9.56994e+07,344.42334
259,1469615.875,zy,-180401.23,-9.56994e+07,344.42334
260,1469615.875,zz,-9.574762e+07,-9.56994e+07,344.42334
261,1802949.25,xx,-9.770868e+07,-9.550323e+07,344.19812
262,1802949.25,xy,-2.3140143e-10,-9.550323e+07,344.19812
263,1802949.25,xz,-204397.78,-9.550323e+07,344.19812
264,1802949.25,yx,-2.3140143e-10,-9.550323e+07,344.19812
265,1802949.25,yy,-9.769508e+07,-9.550323e+07,344.19812
266,1802949.25,yz,-222717.03,-9.550323e+07,344.19812
267,1802949.25,zx,-204397.78,-9.550323e+07,344.19812
268,1802949.25,zy,-222717.03,-9.550323e+07,344.19812
269,1802949.25,zz,-9.554481e+07,-9.550323e+07,344.19812
270,2136282.5,xx,-9.751421e+07,-9.548048e+07,343.93872
271,2136282.5,xy,-2.3963564e-10,-9.548048e+07,343.93872
272,2136282.5,xz,-220049.95,-9.548048e+07,343.93872
273,2136282.5,yx,-2.3963564e-10,-9.548048e+07,343.93872
274,2136282.5,yy,-9.750539e+07,-9.548048e+07,343.93872
275,2136282.5,yz,-235822.81,-9.548048e+07,343.93872
276,2136282.5,zx,-220049.95,-9.548048e+07,343.93872
277,2136282.5,zy,-235822.81,-9.548048e+07,343.93872
278,2136282.5,zz,-9.553176e+07,-9.548048e+07,343.93872
279,2469616.0,xx,-9.719619e+07,-9.5402136e+07,343.64163
280,2469616.0,xy,-2.4294264e-10,-9.5402136e+07,343.64163
281,2469616.0,xz,-226344.48,-9.5402136e+07,343.64163
282,2469616.0,yx,-2.4294264e-10,-9.5402136e+07,343.64163
283,2469616.0,yy,-9.719522e+07,-9.5402136e+07,343.64163
284,2469616.0,yz,-241097.3,-9.5402136e+07,343.64163
285,2469616.0,zx,-226344.48,-9.5402136e+07,343.64163
286,2469616.0,zy,-241097.3,-9.5402136e+07,343.64163
287,2469616.0,zz,-9.546311e+07,-9.5402136e+07,343.64163
288,2969616.0,xx,-9.68646e+07,-9.5337096e+07,343.3033
289,2969616.0,xy,-2.4596716e-10,-9.5337096e+07,343.3033
290,2969616.0,xz,-229204.61,-9.5337096e+07,343.3033
291,2969616.0,yx,-2.4596716e-10,-9.5337096e+07,343.3033
292,2969616.0,yy,-9.6874216e+07,-9.5337096e+07,343.3033
293,2969616.0,yz,-234974.08,-9.5337096e+07,343.3033
294,2969616.0,zx,-229204.61,-9.5337096e+07,343.3033
295,2969616.0,zy,-234974.08,-9.5337096e+07,343.3033
296,2969616.0,zz,-9.540741e+07,-9.5337096e+07,343.3033
297,3469616.0,xx,-9.650303e+07,-9.525932e+07,342.9196
298,3469616.0,xy,-2.4960167e-10,-9.525932e+07,342.9196
299,3469616.0,xz,-224028.39,-9.525932e+07,342.9196
300,3469616.0,yx,-2.4960167e-10,-9.525932e+07,342.9196
301,3469616.0,yy,-9.6510056e+07,-9.525932e+07,342.9196
302,3469616.0,yz,-229443.16,-9.525932e+07,342.9196
303,3469616.0,zx,-224028.39,-9.525932e+07,342.9196
304,3469616.0,zy,-229443.16,-9.525932e+07,342.9196
305,3469616.0,zz,-9.534177e+07,-9.525932e+07,342.9196
306,3969616.0,xx,-9.6100424e+07,-9.514098e+07,342.48575
307,3969616.0,xy,-2.5472116e-10,-9.514098e+07,342.48575
308,3969616.0,xz,-218836.69,-9.514098e+07,342.48575
309,3969616.0,yx,-2.5472116e-10,-9.514098e+07,342.48575
310,3969616.0,yy,-9.6106344e+07,-9.514098e+07,342.48575
311,3969616.0,yz,-225038.44,-9.514098e+07,342.48575
312,3969616.0,zx,-218836.69,-9.514098e+07,342.48575
313,3969616.0,zy,-225038.44,-9.514098e+07,342.48575
314,3969616.0,zz,-9.524335e+07,-9.514098e+07,342.48575
315,4302949.0,xx,-9.609825e+07,-9.514354e+07,342.48575
316,4302949.0,xy,-2.5433264e-10,-9.514354e+07,342.48575
317,4302949.0,xz,-218715.9,-9.514354e+07,342.48575
318,4302949.0,yx,-2.5433264e-10,-9.514354e+07,342.48575
319,4302949.0,yy,-9.610397e+07,-9.514354e+07,342.48575
320,4302949.0,yz,-224954.67,-9.514354e+07,342.48575
321,4302949.0,zx,-218715.9,-9.514354e+07,342.48575
322,4302949.0,zy,-224954.67,-9.514354e+07,342.48575
323,4302949.0,zz,-9.524633e+07,-9.514354e+07,342.48575
324,4636282.5,xx,-9.609621e+07,-9.514572e+07,342.48575
325,4636282.5,xy,-2.5397706e-10,-9.514572e+07,342.48575
326,4636282.5,xz,-218599.39,-9.514572e+07,342.48575
327,4636282.5,yx,-2.5397706e-10,-9.514572e+07,342.48575
328,4636282.5,yy,-9.610173e+07,-9.514572e+07,342.48575
329,4636282.5,yz,-224876.34,-9.514572e+07,342.48575
330,4636282.5,zx,-218599.39,-9.514572e+07,342.48575
331,4636282.5,zy,-224876.34,-9.514572e+07,342.48575
332,4636282.5,zz,-9.52489e+07,-9.514572e+07,342.48575
