,time,point_idx,ten9_comp,Total Stress,S3 Magnitude
0,-1.0,0,xx,-7.837356e+07,-7.837356e+07
1,-1.0,0,xy,4.2403533e-10,-7.837356e+07
2,-1.0,0,xz,0.0125584435,-7.837356e+07
3,-1.0,0,yx,4.2403533e-10,-7.837356e+07
4,-1.0,0,yy,-7.837361e+07,-7.837356e+07
5,-1.0,0,yz,-0.0068729636,-7.837356e+07
6,-1.0,0,zx,0.0125584435,-7.837356e+07
7,-1.0,0,zy,-0.0068729636,-7.837356e+07
8,-1.0,0,zz,-9.765239e+07,-7.837356e+07
9,-1.0,1,xx,-7.837356e+07,-7.837356e+07
10,-1.0,1,xy,-0.0013664446,-7.837356e+07
11,-1.0,1,xz,0.002652089,-7.837356e+07
12,-1.0,1,yx,-0.0013664446,-7.837356e+07
13,-1.0,1,yy,-7.837361e+07,-7.837356e+07
14,-1.0,1,yz,-0.9526684,-7.837356e+07
15,-1.0,1,zx,0.002652089,-7.837356e+07
16,-1.0,1,zy,-0.9526684,-7.837356e+07
17,-1.0,1,zz,-9.765239e+07,-7.837356e+07
18,-1.0,2,xx,-7.837356e+07,-7.837356e+07
19,-1.0,2,xy,-0.0015673612,-7.837356e+07
20,-1.0,2,xz,-0.008250866,-7.837356e+07
21,-1.0,2,yx,-0.0015673612,-7.837356e+07
22,-1.0,2,yy,-7.837361e+07,-7.837356e+07
23,-1.0,2,yz,-1.89479,-7.837356e+07
24,-1.0,2,zx,-0.008250866,-7.837356e+07
25,-1.0,2,zy,-1.89479,-7.837356e+07
26,-1.0,2,zz,-9.765239e+07,-7.837356e+07
27,-1.0,3,xx,-7.837356e+07,-7.837356e+07
28,-1.0,3,xy,-0.020436442,-7.837356e+07
29,-1.0,3,xz,-0.0059429854,-7.837356e+07
30,-1.0,3,yx,-0.020436442,-7.837356e+07
31,-1.0,3,yy,-7.837361e+07,-7.837356e+07
32,-1.0,3,yz,-2.867137,-7.837356e+07
33,-1.0,3,zx,-0.0059429854,-7.837356e+07
34,-1.0,3,zy,-2.867137,-7.837356e+07
35,-1.0,3,zz,-9.765239e+07,-7.837356e+07
36,-1.0,4,xx,-7.837356e+07,-7.837356e+07
37,-1.0,4,xy,-0.016566616,-7.837356e+07
38,-1.0,4,xz,-0.003493483,-7.837356e+07
39,-1.0,4,yx,-0.016566616,-7.837356e+07
40,-1.0,4,yy,-7.837361e+07,-7.837356e+07
41,-1.0,4,yz,-3.8001394,-7.837356e+07
42,-1.0,4,zx,-0.003493483,-7.837356e+07
43,-1.0,4,zy,-3.8001394,-7.837356e+07
44,-1.0,4,zz,-9.765239e+07,-7.837356e+07
45,-1.0,5,xx,-7.837356e+07,-7.837356e+07
46,-1.0,5,xy,-0.008772903,-7.837356e+07
47,-1.0,5,xz,0.001975398,-7.837356e+07
48,-1.0,5,yx,-0.008772903,-7.837356e+07
49,-1.0,5,yy,-7.837361e+07,-7.837356e+07
50,-1.0,5,yz,-4.726484,-7.837356e+07
51,-1.0,5,zx,0.001975398,-7.837356e+07
52,-1.0,5,zy,-4.726484,-7.837356e+07
53,-1.0,5,zz,-9.765239e+07,-7.837356e+07
54,-1.0,6,xx,-7.837356e+07,-7.837356e+07
55,-1.0,6,xy,-0.010583464,-7.837356e+07
56,-1.0,6,xz,-0.019620346,-7.837356e+07
57,-1.0,6,yx,-0.010583464,-7.837356e+07
58,-1.0,6,yy,-7.837361e+07,-7.837356e+07
59,-1.0,6,yz,-5.647153,-7.837356e+07
60,-1.0,6,zx,-0.019620346,-7.837356e+07
61,-1.0,6,zy,-5.647153,-7.837356e+07
62,-1.0,6,zz,-9.765239e+07,-7.837356e+07
63,-1.0,7,xx,-7.837356e+07,-7.837356e+07
64,-1.0,7,xy,-0.0019940822,-7.837356e+07
65,-1.0,7,xz,-0.015512938,-7.837356e+07
66,-1.0,7,yx,-0.0019940822,-7.837356e+07
67,-1.0,7,yy,-7.837361e+07,-7.837356e+07
68,-1.0,7,yz,-6.604546,-7.837356e+07
69,-1.0,7,zx,-0.015512938,-7.837356e+07
70,-1.0,7,zy,-6.604546,-7.837356e+07
71,-1.0,7,zz,-9.765239e+07,-7.837356e+07
72,-1.0,8,xx,-7.837356e+07,-7.837356e+07
73,-1.0,8,xy,0.009410772,-7.837356e+07
74,-1.0,8,xz,-0.023659222,-7.837356e+07
75,-1.0,8,yx,0.009410772,-7.837356e+07
76,-1.0,8,yy,-7.837361e+07,-7.837356e+07
77,-1.0,8,yz,-7.5369563,-7.837356e+07
78,-1.0,8,zx,-0.023659222,-7.837356e+07
79,-1.0,8,zy,-7.5369563,-7.837356e+07
80,-1.0,8,zz,-9.765239e+07,-7.837356e+07
81,-1.0,9,xx,-7.837356e+07,-7.837356e+07
82,-1.0,9,xy,0.02019952,-7.837356e+07
83,-1.0,9,xz,-0.034344833,-7.837356e+07
84,-1.0,9,yx,0.02019952,-7.837356e+07
85,-1.0,9,yy,-7.837361e+07,-7.837356e+07
86,-1.0,9,yz,-8.479319,-7.837356e+07
87,-1.0,9,zx,-0.034344833,-7.837356e+07
88,-1.0,9,zy,-8.479319,-7.837356e+07
89,-1.0,9,zz,-9.765239e+07,-7.837356e+07
90,-1.0,10,xx,-7.837356e+07,-7.837356e+07
91,-1.0,10,xy,0.011606417,-7.837356e+07
92,-1.0,10,xz,-0.007083272,-7.837356e+07
93,-1.0,10,yx,0.011606417,-7.837356e+07
94,-1.0,10,yy,-7.837361e+07,-7.837356e+07
95,-1.0,10,yz,-9.430451,-7.837356e+07
96,-1.0,10,zx,-0.007083272,-7.837356e+07
97,-1.0,10,zy,-9.430451,-7.837356e+07
98,-1.0,10,zz,-9.765239e+07,-7.837356e+07
99,-1.0,11,xx,-7.837356e+07,-7.837356e+07
100,-1.0,11,xy,0.015576289,-7.837356e+07
101,-1.0,11,xz,-0.011369248,-7.837356e+07
102,-1.0,11,yx,0.015576289,-7.837356e+07
103,-1.0,11,yy,-7.837361e+07,-7.837356e+07
104,-1.0,11,yz,-10.345571,-7.837356e+07
105,-1.0,11,zx,-0.011369248,-7.837356e+07
106,-1.0,11,zy,-10.345571,-7.837356e+07
107,-1.0,11,zz,-9.765239e+07,-7.837356e+07
108,-1.0,12,xx,-7.837356e+07,-7.837356e+07
109,-1.0,12,xy,0.01954617,-7.837356e+07
110,-1.0,12,xz,-0.015655318,-7.837356e+07
111,-1.0,12,yx,0.01954617,-7.837356e+07
112,-1.0,12,yy,-7.837361e+07,-7.837356e+07
113,-1.0,12,yz,-11.26069,-7.837356e+07
114,-1.0,12,zx,-0.015655318,-7.837356e+07
115,-1.0,12,zy,-11.26069,-7.837356e+07
116,-1.0,12,zz,-9.765239e+07,-7.837356e+07
117,-1.0,13,xx,-7.837356e+07,-7.837356e+07
118,-1.0,13,xy,-0.007291825,-7.837356e+07
119,-1.0,13,xz,-0.003032561,-7.837356e+07
120,-1.0,13,yx,-0.007291825,-7.837356e+07
121,-1.0,13,yy,-7.837361e+07,-7.837356e+07
122,-1.0,13,yz,-12.223708,-7.837356e+07
123,-1.0,13,zx,-0.003032561,-7.837356e+07
124,-1.0,13,zy,-12.223708,-7.837356e+07
125,-1.0,13,zz,-9.765239e+07,-7.837356e+07
126,-1.0,14,xx,-7.837355e+07,-7.837355e+07
127,-1.0,14,xy,-0.0050042,-7.837355e+07
128,-1.0,14,xz,-0.0070467065,-7.837355e+07
129,-1.0,14,yx,-0.0050042,-7.837355e+07
130,-1.0,14,yy,-7.837361e+07,-7.837355e+07
131,-1.0,14,yz,-13.104946,-7.837355e+07
132,-1.0,14,zx,-0.0070467065,-7.837355e+07
133,-1.0,14,zy,-13.104946,-7.837355e+07
134,-1.0,14,zz,-9.765239e+07,-7.837355e+07
135,-1.0,15,xx,-7.837355e+07,-7.837355e+07
136,-1.0,15,xy,-0.0027165737,-7.837355e+07
137,-1.0,15,xz,-0.0110606635,-7.837355e+07
138,-1.0,15,yx,-0.0027165737,-7.837355e+07
139,-1.0,15,yy,-7.837361e+07,-7.837355e+07
140,-1.0,15,yz,-13.986184,-7.837355e+07
141,-1.0,15,zx,-0.0110606635,-7.837355e+07
142,-1.0,15,zy,-13.986184,-7.837355e+07
143,-1.0,15,zz,-9.765239e+07,-7.837355e+07
144,-1.0,16,xx,-7.837355e+07,-7.837355e+07
145,-1.0,16,xy,-0.0004289397,-7.837355e+07
146,-1.0,16,xz,-0.015074242,-7.837355e+07
147,-1.0,16,yx,-0.0004289397,-7.837355e+07
148,-1.0,16,yy,-7.837361e+07,-7.837355e+07
149,-1.0,16,yz,-14.867421,-7.837355e+07
150,-1.0,16,zx,-0.015074242,-7.837355e+07
151,-1.0,16,zy,-14.867421,-7.837355e+07
152,-1.0,16,zz,-9.765239e+07,-7.837355e+07
153,-1.0,17,xx,-7.837355e+07,-7.837355e+07
154,-1.0,17,xy,-0.020780116,-7.837355e+07
155,-1.0,17,xz,0.004982853,-7.837355e+07
156,-1.0,17,yx,-0.020780116,-7.837355e+07
157,-1.0,17,yy,-7.837361e+07,-7.837355e+07
158,-1.0,17,yz,-15.793909,-7.837355e+07
159,-1.0,17,zx,0.004982853,-7.837355e+07
160,-1.0,17,zy,-15.793909,-7.837355e+07
161,-1.0,17,zz,-9.765238e+07,-7.837355e+07
162,-1.0,18,xx,-7.837355e+07,-7.837355e+07
163,-1.0,18,xy,-0.013486433,-7.837355e+07
164,-1.0,18,xz,0.00210592,-7.837355e+07
165,-1.0,18,yx,-0.013486433,-7.837355e+07
166,-1.0,18,yy,-7.837361e+07,-7.837355e+07
167,-1.0,18,yz,-16.665823,-7.837355e+07
168,-1.0,18,zx,0.00210592,-7.837355e+07
169,-1.0,18,zy,-16.665823,-7.837355e+07
170,-1.0,18,zz,-9.765238e+07,-7.837355e+07
171,-1.0,19,xx,-7.837355e+07,-7.837355e+07
172,-1.0,19,xy,-0.0061927396,-7.837355e+07
173,-1.0,19,xz,-0.00077091827,-7.837355e+07
174,-1.0,19,yx,-0.0061927396,-7.837355e+07
175,-1.0,19,yy,-7.837361e+07,-7.837355e+07
176,-1.0,19,yz,-17.537737,-7.837355e+07
177,-1.0,19,zx,-0.00077091827,-7.837355e+07
178,-1.0,19,zy,-17.537737,-7.837355e+07
179,-1.0,19,zz,-9.765238e+07,-7.837355e+07
180,-1.0,20,xx,-7.837355e+07,-7.837355e+07
181,-1.0,20,xy,-0.0005561491,-7.837355e+07
182,-1.0,20,xz,-0.003329511,-7.837355e+07
183,-1.0,20,yx,-0.0005561491,-7.837355e+07
184,-1.0,20,yy,-7.837361e+07,-7.837355e+07
185,-1.0,20,yz,-18.400248,-7.837355e+07
186,-1.0,20,zx,-0.003329511,-7.837355e+07
187,-1.0,20,zy,-18.400248,-7.837355e+07
188,-1.0,20,zz,-9.765238e+07,-7.837355e+07
189,-1.0,21,xx,-7.837355e+07,-7.837355e+07
190,-1.0,21,xy,-0.0046552755,-7.837355e+07
191,-1.0,21,xz,0.0013415996,-7.837355e+07
192,-1.0,21,yx,-0.0046552755,-7.837355e+07
193,-1.0,21,yy,-7.837361e+07,-7.837355e+07
194,-1.0,21,yz,-19.20972,-7.837355e+07
195,-1.0,21,zx,0.0013415996,-7.837355e+07
196,-1.0,21,zy,-19.20972,-7.837355e+07
197,-1.0,21,zz,-9.765238e+07,-7.837355e+07
198,-1.0,22,xx,-7.837355e+07,-7.837355e+07
199,-1.0,22,xy,-0.008529417,-7.837355e+07
200,-1.0,22,xz,-0.008451111,-7.837355e+07
201,-1.0,22,yx,-0.008529417,-7.837355e+07
202,-1.0,22,yy,-7.837361e+07,-7.837355e+07
203,-1.0,22,yz,-20.037405,-7.837355e+07
204,-1.0,22,zx,-0.008451111,-7.837355e+07
205,-1.0,22,zy,-20.037405,-7.837355e+07
206,-1.0,22,zz,-9.765238e+07,-7.837355e+07
207,-1.0,23,xx,-7.837355e+07,-7.837355e+07
208,-1.0,23,xy,-0.01604505,-7.837355e+07
209,-1.0,23,xz,-0.02837589,-7.837355e+07
210,-1.0,23,yx,-0.01604505,-7.837355e+07
211,-1.0,23,yy,-7.837361e+07,-7.837355e+07
212,-1.0,23,yz,-20.813372,-7.837355e+07
213,-1.0,23,zx,-0.02837589,-7.837355e+07
214,-1.0,23,zy,-20.813372,-7.837355e+07
215,-1.0,23,zz,-9.765238e+07,-7.837355e+07
216,-1.0,24,xx,-7.837355e+07,-7.837355e+07
217,-1.0,24,xy,-0.034184307,-7.837355e+07
218,-1.0,24,xz,0.016242288,-7.837355e+07
219,-1.0,24,yx,-0.034184307,-7.837355e+07
220,-1.0,24,yy,-7.837361e+07,-7.837355e+07
221,-1.0,24,yz,-21.738785,-7.837355e+07
222,-1.0,24,zx,0.016242288,-7.837355e+07
223,-1.0,24,zy,-21.738785,-7.837355e+07
224,-1.0,24,zz,-9.765238e+07,-7.837355e+07
225,-1.0,25,xx,-7.837355e+07,-7.837355e+07
226,-1.0,25,xy,-0.02442308,-7.837355e+07
227,-1.0,25,xz,0.035847716,-7.837355e+07
228,-1.0,25,yx,-0.02442308,-7.837355e+07
229,-1.0,25,yy,-7.837361e+07,-7.837355e+07
230,-1.0,25,yz,-22.548784,-7.837355e+07
231,-1.0,25,zx,0.035847716,-7.837355e+07
232,-1.0,25,zy,-22.548784,-7.837355e+07
233,-1.0,25,zz,-9.765238e+07,-7.837355e+07
234,-1.0,26,xx,-7.837355e+07,-7.837355e+07
235,-1.0,26,xy,-0.025701843,-7.837355e+07
236,-1.0,26,xz,0.026992073,-7.837355e+07
237,-1.0,26,yx,-0.025701843,-7.837355e+07
238,-1.0,26,yy,-7.837361e+07,-7.837355e+07
239,-1.0,26,yz,-23.338501,-7.837355e+07
240,-1.0,26,zx,0.026992073,-7.837355e+07
241,-1.0,26,zy,-23.338501,-7.837355e+07
242,-1.0,26,zz,-9.765238e+07,-7.837355e+07
243,-1.0,27,xx,-7.837355e+07,-7.837355e+07
244,-1.0,27,xy,-0.004496182,-7.837355e+07
245,-1.0,27,xz,0.013830407,-7.837355e+07
246,-1.0,27,yx,-0.004496182,-7.837355e+07
247,-1.0,27,yy,-7.837361e+07,-7.837355e+07
248,-1.0,27,yz,-24.09012,-7.837355e+07
249,-1.0,27,zx,0.013830407,-7.837355e+07
250,-1.0,27,zy,-24.09012,-7.837355e+07
251,-1.0,27,zz,-9.765238e+07,-7.837355e+07
252,-1.0,28,xx,-7.837355e+07,-7.837355e+07
253,-1.0,28,xy,0.015759576,-7.837355e+07
254,-1.0,28,xz,0.00081817416,-7.837355e+07
255,-1.0,28,yx,0.015759576,-7.837355e+07
256,-1.0,28,yy,-7.837361e+07,-7.837355e+07
257,-1.0,28,yz,-24.836243,-7.837355e+07
258,-1.0,28,zx,0.00081817416,-7.837355e+07
259,-1.0,28,zy,-24.836243,-7.837355e+07
260,-1.0,28,zz,-9.765238e+07,-7.837355e+07
261,-1.0,29,xx,-7.837355e+07,-7.837355e+07
262,-1.0,29,xy,0.018746251,-7.837355e+07
263,-1.0,29,xz,-0.011241897,-7.837355e+07
264,-1.0,29,yx,0.018746251,-7.837355e+07
265,-1.0,29,yy,-7.837361e+07,-7.837355e+07
266,-1.0,29,yz,-25.58273,-7.837355e+07
267,-1.0,29,zx,-0.011241897,-7.837355e+07
268,-1.0,29,zy,-25.58273,-7.837355e+07
269,-1.0,29,zz,-9.7652376e+07,-7.837355e+07
270,-1.0,30,xx,-7.837355e+07,-7.837355e+07
271,-1.0,30,xy,0.0045597223,-7.837355e+07
272,-1.0,30,xz,-0.0053844173,-7.837355e+07
273,-1.0,30,yx,0.0045597223,-7.837355e+07
274,-1.0,30,yy,-7.837361e+07,-7.837355e+07
275,-1.0,30,yz,-26.330456,-7.837355e+07
276,-1.0,30,zx,-0.0053844173,-7.837355e+07
277,-1.0,30,zy,-26.330456,-7.837355e+07
278,-1.0,30,zz,-9.7652376e+07,-7.837355e+07
279,-1.0,31,xx,-7.837355e+07,-7.837355e+07
280,-1.0,31,xy,0.0012966637,-7.837355e+07
281,-1.0,31,xz,-0.013209988,-7.837355e+07
282,-1.0,31,yx,0.0012966637,-7.837355e+07
283,-1.0,31,yy,-7.837361e+07,-7.837355e+07
284,-1.0,31,yz,-27.053967,-7.837355e+07
285,-1.0,31,zx,-0.013209988,-7.837355e+07
286,-1.0,31,zy,-27.053967,-7.837355e+07
287,-1.0,31,zz,-9.7652376e+07,-7.837355e+07
288,-1.0,32,xx,-7.837355e+07,-7.837355e+07
289,-1.0,32,xy,-0.007665222,-7.837355e+07
290,-1.0,32,xz,0.00025660754,-7.837355e+07
291,-1.0,32,yx,-0.007665222,-7.837355e+07
292,-1.0,32,yy,-7.837362e+07,-7.837355e+07
293,-1.0,32,yz,-27.759897,-7.837355e+07
294,-1.0,32,zx,0.00025660754,-7.837355e+07
295,-1.0,32,zy,-27.759897,-7.837355e+07
296,-1.0,32,zz,-9.7652376e+07,-7.837355e+07
297,-1.0,33,xx,-7.8373544e+07,-7.8373544e+07
298,-1.0,33,xy,-0.0040436955,-7.8373544e+07
299,-1.0,33,xz,-0.0012053329,-7.8373544e+07
300,-1.0,33,yx,-0.0040436955,-7.8373544e+07
301,-1.0,33,yy,-7.837362e+07,-7.8373544e+07
302,-1.0,33,yz,-28.446978,-7.8373544e+07
303,-1.0,33,zx,-0.0012053329,-7.8373544e+07
304,-1.0,33,zy,-28.446978,-7.8373544e+07
305,-1.0,33,zz,-9.7652376e+07,-7.8373544e+07
306,-1.0,34,xx,-7.8373544e+07,-7.8373544e+07
307,-1.0,34,xy,-0.003968662,-7.8373544e+07
308,-1.0,34,xz,0.007933929,-7.8373544e+07
309,-1.0,34,yx,-0.003968662,-7.8373544e+07
310,-1.0,34,yy,-7.837362e+07,-7.8373544e+07
311,-1.0,34,yz,-29.1731,-7.8373544e+07
312,-1.0,34,zx,0.007933929,-7.8373544e+07
313,-1.0,34,zy,-29.1731,-7.8373544e+07
314,-1.0,34,zz,-9.7652376e+07,-7.8373544e+07
315,-1.0,35,xx,-7.8373544e+07,-7.8373544e+07
316,-1.0,35,xy,0.009222259,-7.8373544e+07
317,-1.0,35,xz,-0.012076515,-7.8373544e+07
318,-1.0,35,yx,0.009222259,-7.8373544e+07
319,-1.0,35,yy,-7.837362e+07,-7.8373544e+07
320,-1.0,35,yz,-29.761967,-7.8373544e+07
321,-1.0,35,zx,-0.012076515,-7.8373544e+07
322,-1.0,35,zy,-29.761967,-7.8373544e+07
323,-1.0,35,zz,-9.7652376e+07,-7.8373544e+07
324,-1.0,36,xx,-7.8373544e+07,-7.8373544e+07
325,-1.0,36,xy,0.011038018,-7.8373544e+07
326,-1.0,36,xz,-0.017528992,-7.8373544e+07
327,-1.0,36,yx,0.011038018,-7.8373544e+07
328,-1.0,36,yy,-7.837362e+07,-7.8373544e+07
329,-1.0,36,yz,-30.40659,-7.8373544e+07
330,-1.0,36,zx,-0.017528992,-7.8373544e+07
331,-1.0,36,zy,-30.40659,-7.8373544e+07
332,-1.0,36,zz,-9.7652376e+07,-7.8373544e+07
333,-1.0,37,xx,-7.8373544e+07,-7.8373544e+07
334,-1.0,37,xy,0.004287783,-7.8373544e+07
335,-1.0,37,xz,-0.02144268,-7.8373544e+07
336,-1.0,37,yx,0.004287783,-7.8373544e+07
337,-1.0,37,yy,-7.837362e+07,-7.8373544e+07
338,-1.0,37,yz,-31.060911,-7.8373544e+07
