time,bname,vname,u
0.000000e+00,ZP,UZ,0.000000e+00
1.510000e+00,ZP,UZ,0.000000e+00
3.010000e+00,ZP,UZ,0.000000e+00
4.520000e+00,ZP,UZ,0.000000e+00
6.030000e+00,ZP,UZ,0.000000e+00
7.530000e+00,ZP,UZ,-5.527040e-07
9.040000e+00,ZP,UZ,-9.675114e-06
1.055000e+01,ZP,UZ,-1.879727e-05
1.205000e+01,ZP,UZ,-2.487879e-05
1.356000e+01,ZP,UZ,-3.510686e-05
1.506000e+01,ZP,UZ,-4.312336e-05
1.657000e+01,ZP,UZ,-5.252212e-05
1.807000e+01,ZP,UZ,-5.832729e-05
1.958000e+01,ZP,UZ,-6.993738e-05
2.109000e+01,ZP,UZ,-9.039352e-05
2.260000e+01,ZP,UZ,-1.036622e-04
2.411000e+01,ZP,UZ,-1.216304e-04
2.561000e+01,ZP,UZ,-1.335169e-04
2.712000e+01,ZP,UZ,-1.346228e-04
2.862000e+01,ZP,UZ,-1.343462e-04
3.013000e+01,ZP,UZ,-1.337935e-04
3.163000e+01,ZP,UZ,-1.332405e-04
3.314000e+01,ZP,UZ,-1.337935e-04
3.465000e+01,ZP,UZ,-1.335169e-04
3.615000e+01,ZP,UZ,-1.335169e-04
3.766000e+01,ZP,UZ,-1.346228e-04
4.068000e+01,ZP,UZ,-1.343462e-04
4.218000e+01,ZP,UZ,-1.337935e-04
4.369000e+01,ZP,UZ,-1.332405e-04
4.520000e+01,ZP,UZ,-1.329642e-04
4.670000e+01,ZP,UZ,-1.332405e-04
4.821000e+01,ZP,UZ,-1.332405e-04
4.971000e+01,ZP,UZ,-1.340698e-04
5.122000e+01,ZP,UZ,-1.332405e-04
5.273000e+01,ZP,UZ,-1.337935e-04
5.424000e+01,ZP,UZ,-1.343462e-04
5.574000e+01,ZP,UZ,-1.335169e-04
5.725000e+01,ZP,UZ,-1.337935e-04
5.876000e+01,ZP,UZ,-1.329642e-04
6.026000e+01,ZP,UZ,-1.332405e-04
6.177000e+01,ZP,UZ,-1.332405e-04
6.327000e+01,ZP,UZ,-1.337935e-04
6.478000e+01,ZP,UZ,-1.337935e-04
6.629000e+01,ZP,UZ,-1.332405e-04
6.779000e+01,ZP,UZ,-1.335169e-04
6.930000e+01,ZP,UZ,-1.337935e-04
7.081000e+01,ZP,UZ,-1.332405e-04
7.231000e+01,ZP,UZ,-1.332405e-04
7.382000e+01,ZP,UZ,-1.326878e-04
7.533000e+01,ZP,UZ,-1.329642e-04
7.683000e+01,ZP,UZ,-1.337935e-04
7.834000e+01,ZP,UZ,-1.340698e-04
7.985000e+01,ZP,UZ,-1.329642e-04
8.135000e+01,ZP,UZ,-1.326878e-04
8.286000e+01,ZP,UZ,-1.332405e-04
8.436000e+01,ZP,UZ,-1.329642e-04
8.587000e+01,ZP,UZ,-1.337935e-04
8.737000e+01,ZP,UZ,-1.332405e-04
8.888000e+01,ZP,UZ,-1.329642e-04
9.039000e+01,ZP,UZ,-1.329642e-04
9.190000e+01,ZP,UZ,-1.329642e-04
9.340000e+01,ZP,UZ,-1.326878e-04
9.491000e+01,ZP,UZ,-1.329642e-04
9.642000e+01,ZP,UZ,-1.329642e-04
9.792000e+01,ZP,UZ,-1.329642e-04
9.943000e+01,ZP,UZ,-1.329642e-04
1.009400e+02,ZP,UZ,-1.326878e-04
1.024400e+02,ZP,UZ,-1.337935e-04
1.039500e+02,ZP,UZ,-1.337935e-04
1.054600e+02,ZP,UZ,-1.340698e-04
1.069600e+02,ZP,UZ,-1.340698e-04
1.084700e+02,ZP,UZ,-1.329642e-04
1.099800e+02,ZP,UZ,-1.249477e-04
1.114900e+02,ZP,UZ,-1.249477e-04
1.129900e+02,ZP,UZ,-1.249477e-04
1.145000e+02,ZP,UZ,-1.252240e-04
1.160100e+02,ZP,UZ,-1.263297e-04
1.175100e+02,ZP,UZ,-1.260533e-04
1.190200e+02,ZP,UZ,-1.257770e-04
1.205200e+02,ZP,UZ,-1.246711e-04
1.220300e+02,ZP,UZ,-1.252240e-04
1.235400e+02,ZP,UZ,-1.249477e-04
1.250500e+02,ZP,UZ,-1.263297e-04
1.265500e+02,ZP,UZ,-1.263297e-04
1.280600e+02,ZP,UZ,-1.252240e-04
1.295700e+02,ZP,UZ,-1.252240e-04
1.310700e+02,ZP,UZ,-1.249477e-04
1.325800e+02,ZP,UZ,-1.249477e-04
1.340800e+02,ZP,UZ,-1.249477e-04
1.355900e+02,ZP,UZ,-1.249477e-04
1.370900e+02,ZP,UZ,-1.249477e-04
1.386000e+02,ZP,UZ,-1.249477e-04
1.401100e+02,ZP,UZ,-1.260533e-04
1.416200e+02,ZP,UZ,-1.249477e-04
1.431300e+02,ZP,UZ,-1.260533e-04
1.446300e+02,ZP,UZ,-1.252240e-04
1.461400e+02,ZP,UZ,-1.249477e-04
1.476500e+02,ZP,UZ,-1.246711e-04
1.491500e+02,ZP,UZ,-1.257770e-04
1.506600e+02,ZP,UZ,-1.252240e-04
1.521700e+02,ZP,UZ,-1.249477e-04
1.551800e+02,ZP,UZ,-1.249477e-04
1.566900e+02,ZP,UZ,-1.249477e-04
1.581900e+02,ZP,UZ,-1.260533e-04
1.597000e+02,ZP,UZ,-1.246711e-04
1.612100e+02,ZP,UZ,-1.260533e-04
1.627200e+02,ZP,UZ,-1.252240e-04
1.642300e+02,ZP,UZ,-1.252240e-04
1.657300e+02,ZP,UZ,-1.252240e-04
1.672400e+02,ZP,UZ,-1.252240e-04
1.687400e+02,ZP,UZ,-1.249477e-04
1.702500e+02,ZP,UZ,-1.260533e-04
1.717600e+02,ZP,UZ,-1.246711e-04
1.732600e+02,ZP,UZ,-1.252240e-04
1.747700e+02,ZP,UZ,-1.252240e-04
1.762800e+02,ZP,UZ,-1.246711e-04
1.777800e+02,ZP,UZ,-1.249477e-04
1.792900e+02,ZP,UZ,-1.255004e-04
1.808000e+02,ZP,UZ,-1.246711e-04
1.838100e+02,ZP,UZ,-1.243947e-04
1.853200e+02,ZP,UZ,-1.257770e-04
1.868200e+02,ZP,UZ,-1.246711e-04
1.883300e+02,ZP,UZ,-1.249477e-04
1.898400e+02,ZP,UZ,-1.252240e-04
1.913400e+02,ZP,UZ,-1.249477e-04
1.928500e+02,ZP,UZ,-1.257770e-04
1.943600e+02,ZP,UZ,-1.252240e-04
1.958600e+02,ZP,UZ,-1.246711e-04
1.973700e+02,ZP,UZ,-1.255004e-04
1.988800e+02,ZP,UZ,-1.243947e-04
2.003800e+02,ZP,UZ,-1.249477e-04
2.018900e+02,ZP,UZ,-1.243947e-04
2.033900e+02,ZP,UZ,-1.260533e-04
2.049000e+02,ZP,UZ,-1.246711e-04
2.064100e+02,ZP,UZ,-1.257770e-04
2.079100e+02,ZP,UZ,-1.246711e-04
2.094200e+02,ZP,UZ,-1.252240e-04
2.109300e+02,ZP,UZ,-1.260533e-04
2.124300e+02,ZP,UZ,-1.246711e-04
2.139400e+02,ZP,UZ,-1.260533e-04
2.154500e+02,ZP,UZ,-1.246711e-04
2.169500e+02,ZP,UZ,-1.255004e-04
2.184600e+02,ZP,UZ,-1.243947e-04
2.199700e+02,ZP,UZ,-1.255004e-04
2.214700e+02,ZP,UZ,-1.249477e-04
2.229800e+02,ZP,UZ,-1.249477e-04
2.244900e+02,ZP,UZ,-1.243947e-04
2.259900e+02,ZP,UZ,-1.257770e-04
2.275000e+02,ZP,UZ,-1.246711e-04
2.290100e+02,ZP,UZ,-1.249477e-04
2.305100e+02,ZP,UZ,-1.243947e-04
2.320200e+02,ZP,UZ,-1.260533e-04
2.335300e+02,ZP,UZ,-1.246711e-04
2.350400e+02,ZP,UZ,-1.246711e-04
2.365400e+02,ZP,UZ,-1.257770e-04
2.380500e+02,ZP,UZ,-1.255004e-04
2.395500e+02,ZP,UZ,-1.243947e-04
2.410600e+02,ZP,UZ,-1.246711e-04
2.425700e+02,ZP,UZ,-1.257770e-04
2.440700e+02,ZP,UZ,-1.257770e-04
2.455800e+02,ZP,UZ,-1.246711e-04
2.470900e+02,ZP,UZ,-1.243947e-04
2.485900e+02,ZP,UZ,-1.255004e-04
2.501000e+02,ZP,UZ,-1.255004e-04
2.516100e+02,ZP,UZ,-1.243947e-04
2.531200e+02,ZP,UZ,-1.252240e-04
2.546200e+02,ZP,UZ,-1.257770e-04
2.561300e+02,ZP,UZ,-1.257770e-04
2.576400e+02,ZP,UZ,-1.246711e-04
2.591400e+02,ZP,UZ,-1.246711e-04
2.606500e+02,ZP,UZ,-1.252240e-04
2.621600e+02,ZP,UZ,-1.257770e-04
2.636600e+02,ZP,UZ,-1.246711e-04
2.651700e+02,ZP,UZ,-1.243947e-04
2.666800e+02,ZP,UZ,-1.246711e-04
2.681900e+02,ZP,UZ,-1.249477e-04
2.696900e+02,ZP,UZ,-1.255004e-04
2.712000e+02,ZP,UZ,-1.255004e-04
2.742100e+02,ZP,UZ,-1.246711e-04
2.757200e+02,ZP,UZ,-1.249477e-04
2.772300e+02,ZP,UZ,-1.249477e-04
2.787300e+02,ZP,UZ,-1.255004e-04
2.802400e+02,ZP,UZ,-1.257770e-04
2.817500e+02,ZP,UZ,-1.257770e-04
2.832500e+02,ZP,UZ,-1.257770e-04
2.847600e+02,ZP,UZ,-1.257770e-04
2.862700e+02,ZP,UZ,-1.255004e-04
2.877800e+02,ZP,UZ,-1.255004e-04
2.892800e+02,ZP,UZ,-1.255004e-04
2.907900e+02,ZP,UZ,-1.219068e-04
2.922900e+02,ZP,UZ,-1.097437e-04
2.938000e+02,ZP,UZ,-1.064265e-04
2.953000e+02,ZP,UZ,-1.125080e-04
2.968100e+02,ZP,UZ,-1.224597e-04
2.983200e+02,ZP,UZ,-1.346228e-04
2.998300e+02,ZP,UZ,-1.434686e-04
3.013300e+02,ZP,UZ,-1.583959e-04
3.028400e+02,ZP,UZ,-1.766405e-04
3.043500e+02,ZP,UZ,-1.915678e-04
3.058500e+02,ZP,UZ,-2.020722e-04
3.073600e+02,ZP,UZ,-2.172762e-04
3.088700e+02,ZP,UZ,-2.178291e-04
3.103700e+02,ZP,UZ,-2.181055e-04
3.118800e+02,ZP,UZ,-2.194875e-04
3.133900e+02,ZP,UZ,-2.192111e-04
3.148900e+02,ZP,UZ,-2.181055e-04
3.179100e+02,ZP,UZ,-2.178291e-04
3.194100e+02,ZP,UZ,-2.181055e-04
3.209200e+02,ZP,UZ,-2.192111e-04
3.224300e+02,ZP,UZ,-2.192111e-04
3.239300e+02,ZP,UZ,-2.183818e-04
3.254400e+02,ZP,UZ,-2.178291e-04
3.269400e+02,ZP,UZ,-2.186584e-04
